region	distance	type
CHR1|136009-139287	0.07095495	HGT
CHR1|325943-328365	0.07333969	HGT
CHR1|449309-450592	0.04044464	HGT
CHR1|546658-547959	0.06881187	HGT
CHR1|964867-966441	0.07167595	HGT
CHR1|1073625-1076753	0.05957439	HGT
CHR1|1110676-1111869	0.05354295	HGT
CHR1|1156606-1158266	0.0393563	HGT
CHR1|1183874-1185079	0.10513945	HGT
CHR1|1224460-1225487	0.16486761	HGT
CHR1|1285343-1286599	0.2488515	HGT
CHR1|1301154-1302620	0.06776539	HGT
CHR1|1483015-1484301	0.03890843	HGT
CHR1|1540867-1541891	0.17929332	HGT
CHR1|1865583-1867026	0.04999016	HGT
CHR1|2212011-2214005	0.08402238	HGT
CHR1|2277397-2278483	0.02921114	HGT
CHR1|2691455-2693350	0.03337815	HGT
CHR1|3559943-3560955	0.10356613	HGT
CHR1|9318362-9320901	0.05214179	HGT
CHR1|24162983-24164421	0.05778115	HGT
CHR1|26093712-26095400	0.16076037	HGT
CHR1|31859526-31860878	0.11414938	HGT
CHR1|41996803-41998009	0.16556533	HGT
CHR1|54021403-54022795	0.07430913	HGT
CHR1|121137761-121138777	0.12401773	HGT
CHR1|142884798-142886228	0.03631906	HGT
CHR1|143121665-143123163	0.03430809	HGT
CHR1|148854277-148855922	0.12941851	HGT
CHR1|222645180-222648618	0.06170803	HGT
CHR1|227143392-227144996	0.12538215	HGT
CHR1|227165465-227166679	0.15847811	HGT
CHR1|228155953-228159680	0.06081837	HGT
CHR1|228255343-228256584	0.10080776	HGT
CHR1|228745209-228746863	0.08272314	HGT
CHR1|228747285-228748919	0.08717326	HGT
CHR1|228749043-228752674	0.07765955	HGT
CHR1|228752938-228754915	0.08085093	HGT
CHR1|228755179-228757143	0.08033655	HGT
CHR1|228757394-228761600	0.0795236	HGT
CHR1|228761663-228763087	0.07584569	HGT
CHR1|228763757-228768314	0.07758423	HGT
CHR1|228768578-228769867	0.0751059	HGT
CHR1|228770818-228775028	0.0790686	HGT
CHR1|228775284-228782327	0.07864538	HGT
CHR1|231432410-231434173	0.01936594	HGT
CHR1|232892420-232893899	0.03149087	HGT
CHR1|232895833-232896872	0.03999661	HGT
CHR1|243216948-243220439	0.06439934	HGT
CHR1|244438429-244439885	0.11186733	HGT
CHR1|246647101-246648641	0.05107051	HGT
CHR1|247279134-247280838	0.11167225	HGT
CHR1|247281181-247282360	0.11468635	HGT
CHR1|247894613-247895618	0.03042998	HGT
CHR1|248350992-248352403	0.02860375	HGT
CHR1|248429908-248431291	0.03544175	HGT
CHR1|248470266-248471339	0.01558334	HGT
CHR1|248838470-248839485	0.01275577	HGT
CHR2|45195-46823	0.09947547	HGT
CHR2|66770-68756	0.03865945	HGT
CHR2|392809-393842	0.02757366	HGT
CHR2|420012-421265	0.07610223	HGT
CHR2|739786-740905	0.09298525	HGT
CHR2|863877-865078	0.06193535	HGT
CHR2|900392-901464	0.03993559	HGT
CHR2|1107336-1111478	0.00620513	HGT
CHR2|1540663-1541928	0.08116089	HGT
CHR2|1558764-1560128	0.00714319	HGT
CHR2|1571875-1573189	0.09793993	HGT
CHR2|1682847-1684137	0.08642633	HGT
CHR2|1714291-1715466	0.18409173	HGT
CHR2|2311466-2312583	0.04799423	HGT
CHR2|2856162-2857173	0.08459245	HGT
CHR2|3331954-3333836	0.04330538	HGT
CHR2|10151849-10154395	0.09473907	HGT
CHR2|10154877-10156267	0.10429713	HGT
CHR2|18144397-18145791	0.07236649	HGT
CHR2|18936135-18937737	0.09360695	HGT
CHR2|24898723-24899889	0.00898119	HGT
CHR2|32335503-32336775	0.03631946	HGT
CHR2|35041251-35042481	0.02964379	HGT
CHR2|87581546-87583357	0.07360524	HGT
CHR2|87584007-87585588	0.09894894	HGT
CHR2|90289782-90291161	0.08553382	HGT
CHR2|90292499-90293572	0.0984233	HGT
CHR2|90520709-90521934	0.06974526	HGT
CHR2|91634346-91635925	0.08063998	HGT
CHR2|91669383-91671616	0.11934622	HGT
CHR2|91741353-91742400	0.0986366	HGT
CHR2|91743567-91747442	0.07631306	HGT
CHR2|91997014-91998468	0.1325629	HGT
CHR2|92171760-92172896	0.080529	HGT
CHR2|92173594-92175314	0.08404116	HGT
CHR2|92230314-92231824	0.12949379	HGT
CHR2|95429003-95430099	0.0450459	HGT
CHR2|105671029-105672086	0.01374421	HGT
