region	distance	type
CHR1|136009-139287	0.01736217	HGT
CHR1|325943-328365	0.01812626	HGT
CHR1|449309-450592	0.02773814	HGT
CHR1|546658-547959	0.05984424	HGT
CHR1|964867-966441	0.08026705	HGT
CHR1|1073625-1076753	0.02138573	HGT
CHR1|1110676-1111869	0.02173671	HGT
CHR1|1156606-1158266	0.00883746	HGT
CHR1|1183874-1185079	0.0309189	HGT
CHR1|1224460-1225487	0.08153811	HGT
CHR1|1285343-1286599	0.08269131	HGT
CHR1|1301154-1302620	0.04316751	HGT
CHR1|1483015-1484301	0.0085645	HGT
CHR1|1540867-1541891	0.06456198	HGT
CHR1|1865583-1867026	0.05505607	HGT
CHR1|2212011-2214005	0.04480295	HGT
CHR1|2277397-2278483	0.00805794	HGT
CHR1|2691455-2693350	0.01303256	HGT
CHR1|3559943-3560955	0.02911922	HGT
CHR1|9318362-9320901	0.04211657	HGT
CHR1|24162983-24164421	0.02418821	HGT
CHR1|26093712-26095400	0.09748514	HGT
CHR1|31859526-31860878	0.05197792	HGT
CHR1|41996803-41998009	0.0762672	HGT
CHR1|54021403-54022795	0.0892812	HGT
CHR1|121137761-121138777	0.05087638	HGT
CHR1|142884798-142886228	0.02035194	HGT
CHR1|143121665-143123163	0.0205881	HGT
CHR1|148854277-148855922	0.04912641	HGT
CHR1|222645180-222648618	0.01827067	HGT
CHR1|227143392-227144996	0.05329981	HGT
CHR1|227165465-227166679	0.06701449	HGT
CHR1|228155953-228159680	0.01722105	HGT
CHR1|228255343-228256584	0.05673601	HGT
CHR1|228745209-228746863	0.01730515	HGT
CHR1|228747285-228748919	0.0184759	HGT
CHR1|228749043-228752674	0.01648861	HGT
CHR1|228752938-228754915	0.01727328	HGT
CHR1|228755179-228757143	0.01709843	HGT
CHR1|228757394-228761600	0.01685728	HGT
CHR1|228761663-228763087	0.0177058	HGT
CHR1|228763757-228768314	0.0163907	HGT
CHR1|228768578-228769867	0.0180037	HGT
CHR1|228770818-228775028	0.01679838	HGT
CHR1|228775284-228782327	0.01662138	HGT
CHR1|231432410-231434173	0.00899924	HGT
CHR1|232892420-232893899	0.02262335	HGT
CHR1|232895833-232896872	0.0196038	HGT
CHR1|243216948-243220439	0.01704602	HGT
CHR1|244438429-244439885	0.0730793	HGT
CHR1|246647101-246648641	0.02342299	HGT
CHR1|247279134-247280838	0.04592384	HGT
CHR1|247281181-247282360	0.05154688	HGT
CHR1|247894613-247895618	0.00959409000000001	HGT
CHR1|248350992-248352403	0.01170444	HGT
CHR1|248429908-248431291	0.00914222	HGT
CHR1|248470266-248471339	0.0054508	HGT
CHR1|248838470-248839485	0.01577924	HGT
CHR2|45195-46823	0.02160996	HGT
CHR2|66770-68756	0.02083706	HGT
CHR2|392809-393842	0.01707935	HGT
CHR2|420012-421265	0.02527771	HGT
CHR2|739786-740905	0.02984863	HGT
CHR2|863877-865078	0.02738339	HGT
CHR2|900392-901464	0.01169093	HGT
CHR2|1107336-1111478	0.01423584	HGT
CHR2|1540663-1541928	0.03669735	HGT
CHR2|1558764-1560128	0.00826424999999999	HGT
CHR2|1571875-1573189	0.0300863	HGT
CHR2|1682847-1684137	0.08629675	HGT
CHR2|1714291-1715466	0.0798801999999999	HGT
CHR2|2311466-2312583	0.03275943	HGT
CHR2|2856162-2857173	0.09153184	HGT
CHR2|3331954-3333836	0.0169245	HGT
CHR2|10151849-10154395	0.0309898	HGT
CHR2|10154877-10156267	0.03629729	HGT
CHR2|18144397-18145791	0.07462348	HGT
CHR2|18936135-18937737	0.12316903	HGT
CHR2|24898723-24899889	0.00255991	HGT
CHR2|32335503-32336775	0.07793738	HGT
CHR2|35041251-35042481	0.11804227	HGT
CHR2|87581546-87583357	0.03024257	HGT
CHR2|87584007-87585588	0.03877864	HGT
CHR2|90289782-90291161	0.03622031	HGT
CHR2|90292499-90293572	0.04004862	HGT
CHR2|90520709-90521934	0.02768062	HGT
CHR2|91634346-91635925	0.02920922	HGT
CHR2|91669383-91671616	0.05025323	HGT
CHR2|91741353-91742400	0.03992276	HGT
CHR2|91743567-91747442	0.03057015	HGT
CHR2|91997014-91998468	0.05547298	HGT
CHR2|92171760-92172896	0.03312147	HGT
CHR2|92173594-92175314	0.03151523	HGT
CHR2|92230314-92231824	0.05353305	HGT
CHR2|95429003-95430099	0.01677064	HGT
CHR2|105671029-105672086	0.02860361	HGT
CHR2|107082452-107084284	0.03821196	HGT
CHR2|108160659-108161775	0.02807177	HGT
CHR2|108443623-108446614	0.0376057	HGT
CHR2|111980874-111982487	0.01728158	HGT
CHR2|114407820-114411550	0.01220816	HGT
CHR2|118850345-118851969	0.03554826	HGT
CHR2|128346261-128347630	0.06718245	HGT
CHR2|132414472-132417080	0.01496981	HGT
CHR2|133110082-133111355	0.01878392	HGT
CHR2|170321103-170324914	0.091123	HGT
CHR2|173486222-173487536	0.06845183	HGT
CHR2|229759397-229761189	0.0161957	HGT
CHR2|229761889-229763843	0.01594872	HGT
CHR2|233764357-233765580	0.0707245899999999	HGT
CHR2|235553982-235557850	0.06628126	HGT
CHR2|239455321-239457607	0.01059877	HGT
CHR2|239675709-239677357	0.01585879	HGT
CHR2|239685089-239686411	0.02289321	HGT
CHR2|239788655-239790029	0.064844	HGT
CHR2|240202423-240204715	0.06581774	HGT
CHR2|240267207-240268881	0.07622705	HGT
CHR2|241538987-241540672	0.00637287	HGT
CHR2|241626389-241628488	0.01268366	HGT
CHR2|241862838-241863965	0.08922449	HGT
CHR2|241916178-241919053	0.0311666	HGT
CHR2|242704912-242707061	0.06136745	HGT
CHR2|242760170-242762460	0.03528765	HGT
CHR2|242823428-242824771	0.01714581	HGT
CHR2|242843972-242846682	0.01168134	HGT
CHR2|242878291-242879373	0.01109911	HGT
CHR2|242895025-242896104	0.01778997	HGT
CHR2|242926926-242928535	0.00875052	HGT
CHR2|242945419-242946812	0.01958694	HGT
CHR2|242988669-242989835	0.04086879	HGT
CHR3|175695-177319	0.03779458	HGT
CHR3|8453200-8454365	0.02171523	HGT
CHR3|13743852-13746843	0.0138747	HGT
CHR3|13748605-13749736	0.01214882	HGT
CHR3|13749744-13753491	0.01411251	HGT
