region	distance	type
CHR1|136009-139287	0.03820639	HGT
CHR1|325943-328365	0.03953787	HGT
CHR1|449309-450592	0.03802419	HGT
CHR1|546658-547959	0.08693921	HGT
CHR1|964867-966441	0.10707325	HGT
CHR1|1073625-1076753	0.04002696	HGT
CHR1|1110676-1111869	0.03576187	HGT
CHR1|1156606-1158266	0.02072276	HGT
CHR1|1183874-1185079	0.06469091	HGT
CHR1|1224460-1225487	0.12788166	HGT
CHR1|1285343-1286599	0.15553063	HGT
CHR1|1301154-1302620	0.06639748	HGT
CHR1|1483015-1484301	0.02002089	HGT
CHR1|1540867-1541891	0.11666801	HGT
CHR1|1865583-1867026	0.08453897	HGT
CHR1|2212011-2214005	0.06819807	HGT
CHR1|2277397-2278483	0.01736613	HGT
CHR1|2691455-2693350	0.02210459	HGT
CHR1|3559943-3560955	0.05731619	HGT
CHR1|9318362-9320901	0.05023668	HGT
CHR1|24162983-24164421	0.03603551	HGT
CHR1|26093712-26095400	0.13408077	HGT
CHR1|31859526-31860878	0.09525071	HGT
CHR1|41996803-41998009	0.1333108	HGT
CHR1|54021403-54022795	0.10772966	HGT
CHR1|121137761-121138777	0.0936542	HGT
CHR1|142884798-142886228	0.03096247	HGT
CHR1|143121665-143123163	0.03118388	HGT
CHR1|148854277-148855922	0.0942718	HGT
CHR1|222645180-222648618	0.03478516	HGT
CHR1|227143392-227144996	0.08294338	HGT
CHR1|227165465-227166679	0.10770425	HGT
CHR1|228155953-228159680	0.034489	HGT
CHR1|228255343-228256584	0.07866463	HGT
CHR1|228745209-228746863	0.04300649	HGT
CHR1|228747285-228748919	0.04607603	HGT
CHR1|228749043-228752674	0.04065343	HGT
CHR1|228752938-228754915	0.04217639	HGT
CHR1|228755179-228757143	0.04185947	HGT
CHR1|228757394-228761600	0.04155134	HGT
CHR1|228761663-228763087	0.04100045	HGT
CHR1|228763757-228768314	0.04048547	HGT
CHR1|228768578-228769867	0.04045011	HGT
CHR1|228770818-228775028	0.04128529	HGT
CHR1|228775284-228782327	0.0411292	HGT
CHR1|231432410-231434173	0.01329094	HGT
CHR1|232892420-232893899	0.03066107	HGT
CHR1|232895833-232896872	0.03063678	HGT
CHR1|243216948-243220439	0.03566408	HGT
CHR1|244438429-244439885	0.12094501	HGT
CHR1|246647101-246648641	0.03745922	HGT
CHR1|247279134-247280838	0.07777239	HGT
CHR1|247281181-247282360	0.08202276	HGT
CHR1|247894613-247895618	0.01904849	HGT
CHR1|248350992-248352403	0.01931087	HGT
CHR1|248429908-248431291	0.02121554	HGT
CHR1|248470266-248471339	0.01076108	HGT
CHR1|248838470-248839485	0.02012366	HGT
CHR2|45195-46823	0.05237671	HGT
CHR2|66770-68756	0.03455571	HGT
CHR2|392809-393842	0.02489304	HGT
CHR2|420012-421265	0.04407087	HGT
CHR2|739786-740905	0.05963658	HGT
CHR2|863877-865078	0.04889349	HGT
CHR2|900392-901464	0.02421541	HGT
CHR2|1107336-1111478	0.01361636	HGT
CHR2|1540663-1541928	0.05982223	HGT
CHR2|1558764-1560128	0.00926468	HGT
CHR2|1571875-1573189	0.05497798	HGT
CHR2|1682847-1684137	0.11862276	HGT
CHR2|1714291-1715466	0.1096998	HGT
CHR2|2311466-2312583	0.05473389	HGT
CHR2|2856162-2857173	0.12219215	HGT
CHR2|3331954-3333836	0.02856326	HGT
CHR2|10151849-10154395	0.0597343	HGT
CHR2|10154877-10156267	0.06768729	HGT
CHR2|18144397-18145791	0.08355901	HGT
CHR2|18936135-18937737	0.14783752	HGT
CHR2|24898723-24899889	0.00540634	HGT
CHR2|32335503-32336775	0.09927272	HGT
CHR2|35041251-35042481	0.11931361	HGT
CHR2|87581546-87583357	0.05260195	HGT
CHR2|87584007-87585588	0.06961371	HGT
CHR2|90289782-90291161	0.06293676	HGT
CHR2|90292499-90293572	0.06961994	HGT
CHR2|90520709-90521934	0.04880119	HGT
CHR2|91634346-91635925	0.05675259	HGT
CHR2|91669383-91671616	0.09143383	HGT
CHR2|91741353-91742400	0.06973331	HGT
CHR2|91743567-91747442	0.05400292	HGT
CHR2|91997014-91998468	0.10183458	HGT
CHR2|92171760-92172896	0.05814565	HGT
CHR2|92173594-92175314	0.05759301	HGT
CHR2|92230314-92231824	0.0989508	HGT
CHR2|95429003-95430099	0.03043887	HGT
CHR2|105671029-105672086	0.04022734	HGT
CHR2|107082452-107084284	0.07031468	HGT
CHR2|108160659-108161775	0.05309185	HGT
CHR2|108443623-108446614	0.06774137	HGT
CHR2|111980874-111982487	0.02437953	HGT
CHR2|114407820-114411550	0.01377349	HGT
CHR2|118850345-118851969	0.03601015	HGT
CHR2|128346261-128347630	0.11002204	HGT
CHR2|132414472-132417080	0.03257838	HGT
CHR2|133110082-133111355	0.04525677	HGT
CHR2|170321103-170324914	0.12500791	HGT
CHR2|173486222-173487536	0.08452544	HGT
CHR2|229759397-229761189	0.02778143	HGT
CHR2|229761889-229763843	0.02628386	HGT
CHR2|233764357-233765580	0.09231852	HGT
CHR2|235553982-235557850	0.11148128	HGT
CHR2|239455321-239457607	0.01214886	HGT
CHR2|239675709-239677357	0.02000947	HGT
CHR2|239685089-239686411	0.0275217	HGT
CHR2|239788655-239790029	0.08278323	HGT
CHR2|240202423-240204715	0.08690694	HGT
CHR2|240267207-240268881	0.0940234	HGT
CHR2|241538987-241540672	0.01484509	HGT
CHR2|241626389-241628488	0.02965577	HGT
CHR2|241862838-241863965	0.14023646	HGT
CHR2|241916178-241919053	0.0504172	HGT
CHR2|242704912-242707061	0.11194128	HGT
CHR2|242760170-242762460	0.06188836	HGT
CHR2|242823428-242824771	0.03844422	HGT
CHR2|242843972-242846682	0.0293834	HGT
CHR2|242878291-242879373	0.02670637	HGT
CHR2|242895025-242896104	0.04176232	HGT
CHR2|242926926-242928535	0.01638345	HGT
CHR2|242945419-242946812	0.03071458	HGT
CHR2|242988669-242989835	0.08170707	HGT
CHR3|175695-177319	0.04623736	HGT
CHR3|8453200-8454365	0.02637426	HGT
CHR3|13743852-13746843	0.02583913	HGT
CHR3|13748605-13749736	0.02254581	HGT
CHR3|13749744-13753491	0.02516475	HGT
CHR3|13755414-13757355	0.03183427	HGT
CHR3|38201688-38203993	0.11114882	HGT
CHR3|58858403-58859738	0.01731749	HGT
CHR3|69882798-69884777	0.01204545	HGT
CHR3|75444030-75446266	0.02478864	HGT
CHR3|75826309-75829480	0.03872903	HGT
CHR3|76062574-76063740	0.01804628	HGT
CHR3|77339285-77345689	0.01435745	HGT
CHR3|81063385-81064731	0.02701152	HGT
CHR3|113956241-113957973	0.015977	HGT
CHR3|133133225-133137120	0.11000305	HGT
CHR3|163537618-163538636	0.01681066	HGT
CHR3|166597676-166598871	0.05508081	HGT
CHR3|180851716-180852744	0.04502753	HGT
