region	distance	type
CHR1|136009-139287	0.00447101	HGT
CHR1|325943-328365	0.00399377	HGT
CHR1|449309-450592	0.01968792	HGT
CHR1|546658-547959	0.01995684	HGT
CHR1|964867-966441	0.04158585	HGT
CHR1|1073625-1076753	0.00701638999999998	HGT
CHR1|1110676-1111869	0.00992553999999999	HGT
CHR1|1156606-1158266	0.00162304999999999	HGT
CHR1|1183874-1185079	0.01493216	HGT
CHR1|1224460-1225487	0.04370045	HGT
CHR1|1285343-1286599	0.03194883	HGT
CHR1|1301154-1302620	0.01622906	HGT
CHR1|1483015-1484301	0.00184497999999999	HGT
CHR1|1540867-1541891	0.03560218	HGT
CHR1|1865583-1867026	0.02165415	HGT
CHR1|2212011-2214005	0.02219732	HGT
CHR1|2277397-2278483	0.00333137000000001	HGT
CHR1|2691455-2693350	0.00586176999999999	HGT
CHR1|3559943-3560955	0.01445124	HGT
CHR1|9318362-9320901	0.02027022	HGT
CHR1|24162983-24164421	0.01517683	HGT
CHR1|26093712-26095400	0.0394339600000001	HGT
CHR1|31859526-31860878	0.0171912900000001	HGT
CHR1|41996803-41998009	0.03305046	HGT
CHR1|54021403-54022795	0.04911032	HGT
CHR1|121137761-121138777	0.01890329	HGT
CHR1|142884798-142886228	0.01309853	HGT
CHR1|143121665-143123163	0.0124327	HGT
CHR1|148854277-148855922	0.01616672	HGT
CHR1|222645180-222648618	0.00487974	HGT
CHR1|227143392-227144996	0.03637165	HGT
CHR1|227165465-227166679	0.0220206700000001	HGT
CHR1|228155953-228159680	0.00430985	HGT
CHR1|228255343-228256584	0.02372637	HGT
CHR1|228745209-228746863	0.00273131	HGT
CHR1|228747285-228748919	0.00279311999999999	HGT
CHR1|228749043-228752674	0.00261042999999999	HGT
CHR1|228752938-228754915	0.00272263999999999	HGT
CHR1|228755179-228757143	0.00270996999999999	HGT
CHR1|228757394-228761600	0.00259744999999999	HGT
CHR1|228761663-228763087	0.00320973	HGT
CHR1|228763757-228768314	0.00253085999999999	HGT
CHR1|228768578-228769867	0.00351671	HGT
CHR1|228770818-228775028	0.00259263999999999	HGT
CHR1|228775284-228782327	0.00251747999999999	HGT
CHR1|231432410-231434173	0.00258164	HGT
CHR1|232892420-232893899	0.01223592	HGT
CHR1|232895833-232896872	0.01058118	HGT
CHR1|243216948-243220439	0.00406668	HGT
CHR1|244438429-244439885	0.04364249	HGT
CHR1|246647101-246648641	0.01285657	HGT
CHR1|247279134-247280838	0.02016568	HGT
CHR1|247281181-247282360	0.02171118	HGT
CHR1|247894613-247895618	0.00244663000000002	HGT
CHR1|248350992-248352403	0.00980712999999999	HGT
CHR1|248429908-248431291	0.00189149999999998	HGT
CHR1|248470266-248471339	0.00162811999999998	HGT
CHR1|248838470-248839485	0.01143447	HGT
CHR2|45195-46823	0.00332576	HGT
CHR2|66770-68756	0.01139155	HGT
CHR2|392809-393842	0.00987885999999999	HGT
CHR2|420012-421265	0.01418486	HGT
CHR2|739786-740905	0.01000821	HGT
CHR2|863877-865078	0.01679235	HGT
CHR2|900392-901464	0.0028863	HGT
CHR2|1107336-1111478	0.01149695	HGT
CHR2|1540663-1541928	0.01461257	HGT
CHR2|1558764-1560128	0.00716483999999997	HGT
CHR2|1571875-1573189	0.01393738	HGT
CHR2|1682847-1684137	0.04309774	HGT
CHR2|1714291-1715466	0.04069404	HGT
CHR2|2311466-2312583	0.01480451	HGT
CHR2|2856162-2857173	0.0331864400000002	HGT
CHR2|3331954-3333836	0.00787648999999998	HGT
CHR2|10151849-10154395	0.01408124	HGT
CHR2|10154877-10156267	0.01605644	HGT
CHR2|18144397-18145791	0.05630443	HGT
CHR2|18936135-18937737	0.0535777900000001	HGT
CHR2|24898723-24899889	0.00104779	HGT
CHR2|32335503-32336775	0.03203885	HGT
CHR2|35041251-35042481	0.0840062900000003	HGT
CHR2|87581546-87583357	0.01021986	HGT
CHR2|87584007-87585588	0.01393155	HGT
CHR2|90289782-90291161	0.01248219	HGT
CHR2|90292499-90293572	0.01576257	HGT
CHR2|90520709-90521934	0.00918078999999998	HGT
CHR2|91634346-91635925	0.00885342	HGT
CHR2|91669383-91671616	0.01793975	HGT
CHR2|91741353-91742400	0.01570502	HGT
CHR2|91743567-91747442	0.01017956	HGT
CHR2|91997014-91998468	0.02170371	HGT
CHR2|92171760-92172896	0.01090499	HGT
CHR2|92173594-92175314	0.01090449	HGT
CHR2|92230314-92231824	0.02098605	HGT
CHR2|95429003-95430099	0.00618248999999998	HGT
CHR2|105671029-105672086	0.0251012600000001	HGT
CHR2|107082452-107084284	0.01169935	HGT
CHR2|108160659-108161775	0.01181393	HGT
CHR2|108443623-108446614	0.01169391	HGT
CHR2|111980874-111982487	0.01376023	HGT
CHR2|114407820-114411550	0.01165445	HGT
CHR2|118850345-118851969	0.03416533	HGT
CHR2|128346261-128347630	0.0325240500000001	HGT
CHR2|132414472-132417080	0.00304622999999999	HGT
CHR2|133110082-133111355	0.00331959	HGT
CHR2|170321103-170324914	0.0415710500000001	HGT
CHR2|173486222-173487536	0.0300238200000001	HGT
CHR2|229759397-229761189	0.00492872999999999	HGT
CHR2|229761889-229763843	0.00500057999999999	HGT
CHR2|233764357-233765580	0.0275205600000001	HGT
CHR2|235553982-235557850	0.04691134	HGT
CHR2|239455321-239457607	0.00587162999999999	HGT
CHR2|239675709-239677357	0.0114542	HGT
CHR2|239685089-239686411	0.01590363	HGT
CHR2|239788655-239790029	0.0408701200000001	HGT
CHR2|240202423-240204715	0.03328084	HGT
CHR2|240267207-240268881	0.0386614200000001	HGT
CHR2|241538987-241540672	0.00130616999999999	HGT
CHR2|241626389-241628488	0.00208932999999999	HGT
CHR2|241862838-241863965	0.04036635	HGT
CHR2|241916178-241919053	0.02177799	HGT
CHR2|242704912-242707061	0.02388966	HGT
CHR2|242760170-242762460	0.01372927	HGT
CHR2|242823428-242824771	0.00359317999999999	HGT
CHR2|242843972-242846682	0.00181414999999999	HGT
CHR2|242878291-242879373	0.00221803999999999	HGT
CHR2|242895025-242896104	0.00331921	HGT
CHR2|242926926-242928535	0.00337067	HGT
CHR2|242945419-242946812	0.01261519	HGT
CHR2|242988669-242989835	0.02000186	HGT
CHR3|175695-177319	0.0230837000000001	HGT
CHR3|8453200-8454365	0.01272834	HGT
CHR3|13743852-13746843	0.00409133000000001	HGT
CHR3|13748605-13749736	0.00401001000000001	HGT
CHR3|13749744-13753491	0.00425283	HGT
CHR3|13755414-13757355	0.00480146	HGT
CHR3|38201688-38203993	0.0364137100000001	HGT
CHR3|58858403-58859738	0.01167297	HGT
CHR3|69882798-69884777	0.00141012999999998	HGT
CHR3|75444030-75446266	0.00165398999999999	HGT
CHR3|75826309-75829480	0.01709299	HGT
CHR3|76062574-76063740	0.01070245	HGT
CHR3|77339285-77345689	0.0108728	HGT
CHR3|81063385-81064731	0.01306424	HGT
CHR3|113956241-113957973	0.00186857999999999	HGT
CHR3|133133225-133137120	0.0196249300000001	HGT
CHR3|163537618-163538636	0.00210537999999999	HGT
